Backend Server is running on http://localhost:3001
Đã kết nối thành công tới PostgreSQL Database.
Ensure Images table exists.
[3:37:48 PM] POST /api/auth/login
[3:37:48 PM] POST /api/conversations
[3:38:08 PM] POST /api/auth/login
[3:38:08 PM] POST /api/auth/login
[3:38:08 PM] POST /api/conversations
[3:38:08 PM] POST /api/conversations
[3:44:04 PM] POST /api/auth/login
[3:44:04 PM] POST /api/conversations
[3:44:49 PM] POST /api/auth/login
[3:44:49 PM] POST /api/conversations
[3:44:49 PM] POST /api/conversations
[3:51:38 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:51:38 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:51:40 PM] DELETE /api/conversations/conv_1776847489576_6qhw6hb
[3:51:40 PM] DELETE /api/conversations/conv_1776847088738_rkjb6e2
[3:51:41 PM] DELETE /api/conversations/conv_1776847068626_jjbgwow
[3:51:41 PM] DELETE /api/conversations/conv_1776846312814_8mozt4l
[3:51:42 PM] GET /api/events?token=eyJlbXBsb3llZUlkIjoicGhvX3Bob25nIiwiZW1wbG95ZWVOYW1lIjoiUGjDsyBwaMOybmciLCJjb21wYW55SWQiOiJVcFRlayIsImRlcGFydG1lbnRJZCI6IlBob25nTWFya2V0aW5nIiwibG9ja2VkQWdlbnRJZCI6InBob19waG9uZyIsInZpc2libGVBZ2VudElkcyI6WyJwaG9fcGhvbmciLCJudl9jb250ZW50IiwibnZfbWVkaWEiLCJudl9wcm9tcHQiLCJtZWRpYV92aWRlbyJdLCJjYW5WaWV3QWxsU2Vzc2lvbnMiOmZhbHNlLCJpYXQiOjE3NzY4MjM5MDYyNjYsImV4cCI6MTc3Njg2NzEwNjI2Nn0.oA7wiV8rdp5IR3x35dvp-CapBaO9acIUyvzfqY7gAa8
[3:51:43 PM] DELETE /api/conversations/conv_1776847489611_0uzoxbe
[3:51:43 PM] DELETE /api/conversations/conv_1776847088778_jgafdxh
[3:51:43 PM] DELETE /api/conversations/conv_1776846342267_3irk2hv
[3:51:43 PM] DELETE /api/conversations/conv_1776846328355_lg2o6l8
[3:51:43 PM] DELETE /api/conversations/conv_1776846312773_smus3v7
[3:51:44 PM] DELETE /api/conversations/conv_1776846055015_i6shckv
[3:51:48 PM] POST /api/conversations
[3:51:48 PM] PUT /api/conversations/conv_1776847908497_3uy2ibr
[3:51:48 PM] POST /api/messages
[3:51:56 PM] POST /api/messages
[3:52:14 PM] PUT /api/conversations/conv_1776847908497_3uy2ibr
[3:52:14 PM] POST /api/messages
[3:52:15 PM] POST /api/messages
[3:52:58 PM] GET /api/events?token=eyJlbXBsb3llZUlkIjoicGhvX3Bob25nIiwiZW1wbG95ZWVOYW1lIjoiUGjDsyBwaMOybmciLCJjb21wYW55SWQiOiJVcFRlayIsImRlcGFydG1lbnRJZCI6IlBob25nTWFya2V0aW5nIiwibG9ja2VkQWdlbnRJZCI6InBob19waG9uZyIsInZpc2libGVBZ2VudElkcyI6WyJwaG9fcGhvbmciLCJudl9jb250ZW50IiwibnZfbWVkaWEiLCJudl9wcm9tcHQiLCJtZWRpYV92aWRlbyJdLCJjYW5WaWV3QWxsU2Vzc2lvbnMiOmZhbHNlLCJpYXQiOjE3NzY4MjM5MDYyNjYsImV4cCI6MTc3Njg2NzEwNjI2Nn0.oA7wiV8rdp5IR3x35dvp-CapBaO9acIUyvzfqY7gAa8
[3:54:39 PM] PUT /api/conversations/conv_1776847908497_3uy2ibr
[3:54:39 PM] POST /api/messages
[3:54:41 PM] POST /api/messages
[3:54:53 PM] GET /api/events?token=eyJlbXBsb3llZUlkIjoicGhvX3Bob25nIiwiZW1wbG95ZWVOYW1lIjoiUGjDsyBwaMOybmciLCJjb21wYW55SWQiOiJVcFRlayIsImRlcGFydG1lbnRJZCI6IlBob25nTWFya2V0aW5nIiwibG9ja2VkQWdlbnRJZCI6InBob19waG9uZyIsInZpc2libGVBZ2VudElkcyI6WyJwaG9fcGhvbmciLCJudl9jb250ZW50IiwibnZfbWVkaWEiLCJudl9wcm9tcHQiLCJtZWRpYV92aWRlbyJdLCJjYW5WaWV3QWxsU2Vzc2lvbnMiOmZhbHNlLCJpYXQiOjE3NzY4MjM5MDYyNjYsImV4cCI6MTc3Njg2NzEwNjI2Nn0.oA7wiV8rdp5IR3x35dvp-CapBaO9acIUyvzfqY7gAa8
[3:54:59 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:55:07 PM] POST /api/conversations
[3:55:07 PM] PUT /api/conversations/conv_1776848107386_nlt54f0
[3:55:07 PM] POST /api/messages
[3:55:07 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:55:25 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:55:28 PM] POST /internal/workflows
[3:55:28 PM] POST /internal/conversations
[3:56:00 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:56:10 PM] PUT /api/conversations/conv_1776847908497_3uy2ibr
[3:56:10 PM] POST /api/messages
[3:56:12 PM] POST /api/messages
[3:56:14 PM] GET /api/conversations/nv_content?includeAutomation=1
[3:56:14 PM] GET /api/events?token=eyJlbXBsb3llZUlkIjoicGhvX3Bob25nIiwiZW1wbG95ZWVOYW1lIjoiUGjDsyBwaMOybmciLCJjb21wYW55SWQiOiJVcFRlayIsImRlcGFydG1lbnRJZCI6IlBob25nTWFya2V0aW5nIiwibG9ja2VkQWdlbnRJZCI6InBob19waG9uZyIsInZpc2libGVBZ2VudElkcyI6WyJwaG9fcGhvbmciLCJudl9jb250ZW50IiwibnZfbWVkaWEiLCJudl9wcm9tcHQiLCJtZWRpYV92aWRlbyJdLCJjYW5WaWV3QWxsU2Vzc2lvbnMiOmZhbHNlLCJpYXQiOjE3NzY4MjM5MDYyNjYsImV4cCI6MTc3Njg2NzEwNjI2Nn0.oA7wiV8rdp5IR3x35dvp-CapBaO9acIUyvzfqY7gAa8
[3:56:18 PM] POST /api/conversations
[3:56:18 PM] PUT /api/conversations/conv_1776848178589_u8obrq7
[3:56:18 PM] POST /api/messages
[3:56:18 PM] GET /api/conversations/nv_content?includeAutomation=1
[3:56:21 PM] POST /api/messages
[3:56:21 PM] GET /api/conversations/nv_content?includeAutomation=1
[3:56:32 PM] GET /api/conversations/pho_phong?includeAutomation=1
[3:57:42 PM] GET /api/conversations/pho_phong?includeAutomation=1
[4:00:03 PM] GET /api/conversations/pho_phong?includeAutomation=1
[4:00:07 PM] DELETE /api/conversations/conv_1776847908497_3uy2ibr
[4:00:08 PM] GET /api/events?token=eyJlbXBsb3llZUlkIjoicGhvX3Bob25nIiwiZW1wbG95ZWVOYW1lIjoiUGjDsyBwaMOybmciLCJjb21wYW55SWQiOiJVcFRlayIsImRlcGFydG1lbnRJZCI6IlBob25nTWFya2V0aW5nIiwibG9ja2VkQWdlbnRJZCI6InBob19waG9uZyIsInZpc2libGVBZ2VudElkcyI6WyJwaG9fcGhvbmciLCJudl9jb250ZW50IiwibnZfbWVkaWEiLCJudl9wcm9tcHQiLCJtZWRpYV92aWRlbyJdLCJjYW5WaWV3QWxsU2Vzc2lvbnMiOmZhbHNlLCJpYXQiOjE3NzY4MjM5MDYyNjYsImV4cCI6MTc3Njg2NzEwNjI2Nn0.oA7wiV8rdp5IR3x35dvp-CapBaO9acIUyvzfqY7gAa8
[4:00:13 PM] POST /api/conversations
[4:00:13 PM] PUT /api/conversations/conv_1776848413164_z9sj1nn
[4:00:13 PM] POST /api/messages
[4:00:19 PM] POST /api/messages
[4:00:28 PM] POST /api/messages
[4:00:28 PM] PUT /api/conversations/conv_1776848413164_z9sj1nn
[4:00:49 PM] POST /api/messages
[4:00:57 PM] GET /api/conversations/pho_phong?includeAutomation=1
